vendor,size,model,price
hisense, 65, n7, 3500
hisense, 55, n7, 2500
hisense, 50, n7, 1700
hisense, 65, n8, 4000
hisense, 55, n8, 3000
hisense, 55, n6, 1700
hisense, 65, n6, 3000
hisense, 65, M7000, 3500
hisense, 55, M7000, 2000
hisense, 50, M7000, 1500
JB, 65, n7, 3200
JB, 65, n7, 3000
JB, 65, n6, 2500
JB, 55, n7, 2000
JB, 55, n6, 1600
JB, 50, n6, 1200
hisense, 50, n6, 1200
GG, 50, n6, 1200
HN, 65, n6, 2500
HN, 55, n6, 1600
HN, 50, n6, 1200
HN, 65, n7, 3000
BL, 65, n7, 3000
BL, 65, n7, 2500
BL, 65, n6, 2500
BL, 65, n6, 2100
BL, 55, n7, 1600
BL, 55, n6, 1400
BL, 55, n6, 1300
BL, 50, n6, 1000
BL, 50, n6, 900
GG, 50, M7000, 1100
GG, 50, M7000, 1000
GG, 50, M7000, 800
BL, 55, M7000, 1250
BL, 55, M7000, 1040
GG, 65, M7000, 1600
GG, 55, M7000, 1400
GG, 55, M7000, 1300
GG, 55, M7000, 1250
BL, 55, M7000, 1040
GG, 50, M7000, 1100
GG, 50, M7000, 1000